#Wavelength[nm]	ADC
374.197	1218
374.371	1226
374.544	1160
374.717	1253
374.890	1212
375.063	1202
375.235	1183
375.407	1206
375.579	1187
375.750	1182
375.921	1193
376.092	1191
376.263	1180
376.433	1170
376.603	1171
376.773	1235
376.943	1185
377.112	1204
377.281	1188
377.450	1227
377.619	1201
377.787	1224
377.955	1235
378.122	1215
378.290	1240
378.457	1240
378.624	1239
378.791	1229
378.957	1261
379.123	1266
379.289	1218
379.455	1173
379.620	1263
379.785	1245
379.950	1214
380.114	1192
380.279	1291
380.443	1240
380.606	1199
380.770	1172
380.933	1217
381.096	1186
381.259	1181
381.421	1180
381.583	1207
381.745	1208
381.907	1262
382.068	1200
382.229	1183
382.390	1226
382.551	1199
382.711	1217
382.871	1288
383.031	1239
383.190	1166
383.350	1188
383.509	1201
383.668	1256
383.826	1218
383.984	1207
384.142	1187
384.300	1178
384.458	1208
384.615	1199
384.772	1212
384.928	1165
385.085	1183
385.241	1204
385.397	1227
385.553	1211
385.708	1219
385.863	1186
386.018	1185
386.173	1160
386.327	1166
386.482	1186
386.636	1255
386.789	1172
386.943	1188
387.096	1226
387.249	1206
387.402	1201
387.554	1171
387.706	1178
387.858	1205
388.010	1240
388.161	1234
388.313	1194
388.464	1236
388.614	1158
388.765	1215
388.915	1180
389.065	1210
389.215	1216
389.365	1214
389.514	1241
389.663	1240
389.812	1240
389.960	1192
390.109	1213
390.257	1198
390.405	1194
390.552	1218
390.700	1183
390.847	1227
390.994	1198
391.141	1227
391.287	1216
391.434	1179
391.580	1248
391.725	1175
391.871	1179
392.016	1235
392.162	1217
392.306	1256
392.451	1203
392.596	1278
392.740	1222
392.884	1219
393.028	1229
393.171	1187
393.315	1212
393.458	1210
393.601	1229
393.744	1190
393.886	1219
394.029	1253
394.171	1277
394.313	1257
394.454	1230
394.596	1242
394.737	1239
394.878	1224
395.019	1196
395.160	1237
395.300	1296
395.440	1217
395.580	1218
395.720	1216
395.860	1245
395.999	1233
396.139	1220
396.278	1200
396.417	1243
396.555	1219
396.694	1228
396.832	1180
396.970	1190
397.108	1217
397.246	1232
397.383	1219
397.521	1206
397.658	1237
397.795	1232
397.932	1202
398.068	1260
398.205	1371
398.341	1214
398.477	1231
398.613	1259
398.749	1251
398.884	1213
399.020	1225
399.155	1206
399.290	1198
399.425	1220
399.560	1237
399.694	1239
399.829	1187
399.963	1170
400.097	1198
400.231	1199
400.365	1232
400.499	1238
400.632	1245
400.766	1211
400.899	1202
401.032	1180
401.165	1270
401.297	1206
401.430	1243
401.562	1254
401.695	1204
401.827	1230
401.959	1215
402.091	1215
402.223	1219
402.354	1219
402.486	1215
402.617	1192
402.748	1253
402.879	1242
403.010	1206
403.141	1222
403.272	1238
403.403	1228
403.533	1180
403.664	1226
403.794	1218
403.924	1272
404.054	1303
404.184	1250
404.314	1220
404.444	1237
404.573	1245
404.703	1188
404.832	1212
404.962	1167
405.091	1199
405.220	1207
405.349	1225
405.478	1184
405.607	1238
405.736	1242
405.864	1210
405.993	1177
406.122	1208
406.250	1232
406.378	1239
406.507	1188
406.635	1195
406.763	1205
406.891	1230
407.019	1212
407.147	1203
407.275	1185
407.403	1219
407.531	1214
407.659	1186
407.786	1182
407.914	1223
408.041	1195
408.169	1224
